file,lat,lon,me
data\obs_vs_mod\horaire\lat_42.993167_lon_2.819167_me_-0.00.parquet,42.993167,2.819167,-0.0
data\obs_vs_mod\horaire\lat_43.003833_lon_9.3595_me_0.01.parquet,43.003833,9.3595,0.01
data\obs_vs_mod\horaire\lat_43.004_lon_2.0455_me_-0.01.parquet,43.004,2.0455,-0.01
data\obs_vs_mod\horaire\lat_43.005333_lon_1.106833_me_0.01.parquet,43.005333,1.106833,0.01
data\obs_vs_mod\horaire\lat_43.014833_lon_2.4005_me_0.02.parquet,43.014833,2.4005,0.02
data\obs_vs_mod\horaire\lat_43.0325_lon_6.469333_me_0.01.parquet,43.0325,6.469333,0.01
data\obs_vs_mod\horaire\lat_43.0335_lon_-1.033833_me_0.06.parquet,43.0335,-1.033833,0.06
data\obs_vs_mod\horaire\lat_43.042833_lon_0.298167_me_0.02.parquet,43.042833,0.298167,0.02
data\obs_vs_mod\horaire\lat_43.057833_lon_1.729167_me_0.01.parquet,43.057833,1.729167,0.01
data\obs_vs_mod\horaire\lat_43.068667_lon_-1.4155_me_0.04.parquet,43.068667,-1.4155,0.04
data\obs_vs_mod\horaire\lat_43.079333_lon_5.940833_me_0.00.parquet,43.079333,5.940833,0.0
data\obs_vs_mod\horaire\lat_43.0_lon_6.226833_me_-0.00.parquet,43.0,6.226833,-0.0
data\obs_vs_mod\horaire\lat_43.1005_lon_6.147_me_0.00.parquet,43.1005,6.147,0.0
data\obs_vs_mod\horaire\lat_43.100833_lon_2.503333_me_-0.00.parquet,43.100833,2.503333,-0.0
data\obs_vs_mod\horaire\lat_43.106_lon_0.617333_me_0.01.parquet,43.106,0.617333,0.01
data\obs_vs_mod\horaire\lat_43.1125_lon_2.098333_me_0.01.parquet,43.1125,2.098333,0.01
data\obs_vs_mod\horaire\lat_43.115667_lon_6.1545_me_-0.00.parquet,43.115667,6.1545,-0.0
data\obs_vs_mod\horaire\lat_43.115833_lon_5.900667_me_0.00.parquet,43.115833,5.900667,0.0
data\obs_vs_mod\horaire\lat_43.115_lon_0.866667_me_0.02.parquet,43.115,0.866667,0.02
data\obs_vs_mod\horaire\lat_43.126_lon_-1.135167_me_0.02.parquet,43.126,-1.135167,0.02
data\obs_vs_mod\horaire\lat_43.127167_lon_0.3665_me_0.01.parquet,43.127167,0.3665,0.01
data\obs_vs_mod\horaire\lat_43.143333_lon_1.375_me_0.00.parquet,43.143333,1.375,0.0
data\obs_vs_mod\horaire\lat_43.146667_lon_5.751667_me_0.01.parquet,43.146667,5.751667,0.01
data\obs_vs_mod\horaire\lat_43.150333_lon_2.955833_me_-0.00.parquet,43.150333,2.955833,-0.0
