2025-03-22 08:53:06,534 | __main__ | INFO | Conversion de lat vers float32
2025-03-22 08:53:06,536 | __main__ | INFO | Conversion de lon vers float32
2025-03-22 08:53:06,537 | __main__ | INFO | Chargement finalisé pour data/raw/pr_ALPX-3_ERA5_evaluation_r1i1p1f1_CNRM-MF_CNRM-AROME46t1_v1-r1_1hr_195901010030-195912312330.nc
2025-03-22 08:55:03,038 | __main__ | INFO | Aucune sentinelle détectée pour 'pr'
2025-03-22 08:55:03,807 | __main__ | INFO | Aucun NaN détecté pour la coordonnée 'lat'
2025-03-22 08:55:04,398 | __main__ | INFO | Aucun NaN détecté pour la coordonnée 'lon'
2025-03-22 08:55:04,398 | __main__ | INFO | Encodage appliqué pour data/process/zarr\1959.zarr : {'pr': {'chunks': (8760, 100), 'compressor': Blosc(cname='zstd', clevel=9, shuffle=SHUFFLE, blocksize=0)}, 'lat': {'chunks': (100,), 'compressor': Blosc(cname='zstd', clevel=9, shuffle=SHUFFLE, blocksize=0)}, 'lon': {'chunks': (100,), 'compressor': Blosc(cname='zstd', clevel=9, shuffle=SHUFFLE, blocksize=0)}}
Écriture Zarr: 100%|████████████████████████████████████████████████████████████████████████████████████████| 7699/7699 [01:24<00:00, 91.60chunk/s]
2025-03-22 08:57:07,022 | __main__ | INFO | Fichier Zarr sauvegardé sous data/process/zarr\1959.zarr
2025-03-22 08:57:07,022 | __main__ | INFO | --- Traitement du fichier NetCDF : data/raw/pr_ALPX-3_ERA5_evaluation_r1i1p1f1_CNRM-MF_CNRM-AROME46t1_v1-r1_1hr_196001010030-196012312330.nc ---
2025-03-22 08:57:07,022 | __main__ | INFO | Variables demandées : ['pr', 'lat', 'lon']
2025-03-22 08:57:07,056 | __main__ | INFO | Dataset ouvert avec chunks natifs. Dimensions : {'time': 8784, 'y': 667, 'x': 847}
2025-03-22 08:57:07,056 | __main__ | INFO | Application du filtre spatial pur France (points)
2025-03-22 08:57:28,317 | __main__ | INFO | Dataset réduit aux points France. Dimensions : {'time': 8784, 'points': 87536}
