id,lat,lon,nom,horaire,quotidienne
01004003,45.955,5.348333,AMBERIEU,False,True
01010001,45.9,5.766667,ANGLEFORT,False,True
01014001,46.266666,5.65,ARBENT,False,True
01014002,46.278168,5.669,ARBENT,True,True
01025001,46.32517,4.953167,BAGE,False,True
01027001,45.833332,5.083333,BALAN,False,True
01027002,45.832832,5.086,BALAN,False,True
01028001,46.122,4.9045,BANEINS,False,True
01029001,46.411667,5.263333,BEAUPONT,False,True
01033001,46.103333,5.846667,BELLEGARDE MAN,False,True
01033002,46.0865,5.814167,BELLEGARDE,True,True
01034001,45.755,5.686667,BELLEY MAN,False,True
01034002,45.75833,5.688333,BELLEY,False,True
01034004,45.769333,5.688,BELLEY,True,True
01037001,45.86233,5.484167,BENONCES,False,True
01043001,45.837334,4.990667,BEYNOST,False,True
01053001,46.20667,5.221667,BOURG EN BRESSE,True,True
01053003,46.215,5.258333,BOURG EN BRESSE,False,True
01053004,46.205,5.226667,BOURG-EN-BRESSE SERV.  HYDRO,False,True
01059001,45.948334,5.721667,BRENAZ,False,True
01060001,46.06,5.605,BRENOD,False,True
01064001,45.77717,5.487167,VERIZIEU,True,True
01068001,46.082,5.465167,CERDON,False,True
01071001,46.310333,6.080333,CESSY,True,True
01072001,46.204334,5.287667,CEYZERIAT_SAPC,True,True
01074001,45.996666,5.171667,CHALAMONT,False,True
01082001,46.003334,5.788333,CHANAY,False,True
01085001,46.07,5.025,LA CHAPELLE,False,True
01089001,45.9765,5.329333,AMBERIEU,True,True
01092001,45.969,5.251,CHATILLON,False,True
01093001,46.121666,4.955,CHATILLON/CHALA,False,True
01104001,46.24,5.896667,CHEZERY,False,True
01105001,45.911667,4.891167,CIVRIEUX,False,True
01115001,46.253334,5.06,CONFRANCON,False,True
01118001,45.968334,5.808333,CORBONOD,False,True
01128001,46.451668,5.103333,COURTES,False,True
01143001,46.376667,6.156667,DIVONNE,False,True
01143002,46.3415,6.139667,DIVONNE ZA,True,True
01148001,46.321667,5.658333,DORTAN,False,True
01157001,46.02,4.76,FAREINS,False,True
01160001,46.255,6.108333,FERNEY-VOLTAIRE,False,True
01173001,46.34,6.063167,GEX,False,True
01173002,46.37,6.018333,GEX,False,True
01173011,46.333332,6.058333,GEX,False,True
01174001,46.23,5.7725,GIRON,True,True
01175001,46.41833,4.938333,GORREVOD,False,True
01176001,46.035,5.671667,GD ABERGEMENT,False,True
01184001,46.1545,5.404,HAUTECOURT,False,True
01185001,45.966667,5.6,HAUTEVILLE,False,True
01185002,45.978333,5.605,HAUTEVILLE,False,True
01185005,45.978333,5.596667,LACOUX,False,True
01185006,45.979668,5.598167,HAUTEVILLE_EDF_RIC-A2-DOUBLON,False,True
01187001,46.0365,5.699833,LES PLANS D'HOTONNES,False,True
01190001,45.7825,5.572833,INNIMOND,False,True
01192001,46.225,5.541667,IZERNORE,False,True
01196001,46.368332,5.118333,JAYAT,False,True
01200001,46.095,5.483333,LABALME,False,True
01200002,46.09,5.482,LA BALME SUR CERDON_SAPC,True,True
01204001,46.152832,5.717167,LALLEYRIAT,False,True
01204002,46.166668,5.706667,BURL,True,True
01209001,46.09833,5.881667,LEAZ,False,True
01209002,46.09833,5.881667,LEAZ BOURG,False,True
01210001,46.301666,5.941667,LELEX,False,True
01210002,46.303333,5.943333,LELEX,False,True
01216001,45.733334,5.533333,LHUIS,False,True
01224001,45.8,5.233333,LOYETTES,False,True
01224002,45.8065,5.238333,LOYETTES,False,True
01229001,46.325,5.145,MALAFRETAZ BOURG,False,True
01231001,46.36,4.906667,MANZIAT,False,True
01235001,46.0385,5.044333,MARLIEUX,True,True
01235002,46.046665,5.073333,MARLIEUX,True,True
01243001,46.04717,4.757667,MESSIMY,False,True
01247002,46.36667,5.993333,MIJOUX,False,True
01247003,46.378834,6.019333,MIJOUX,True,True
01247004,46.378334,6.021667,MIJOUX,False,True
01247005,46.321667,5.951667,MIJ LELEX,False,True
01250001,45.981667,4.801667,MISERIEUX,False,True
01255001,45.79333,5.47,MONTAGNIEU,False,True
01255002,45.794334,5.469333,MONTAGNIEU,True,True
01262001,45.925,5.025,MONTLUEL,False,True
01262003,45.9,5.016667,MONTLUEL,False,True
01262004,45.907665,5.017167,MONTLUEL,False,True
01263001,46.08167,4.756667,MONTMERLE-SUR-SAONE P.C.,False,True
01265001,46.18667,5.566667,MONTREAL,False,True
01267001,46.195,5.516667,MORNAY,False,True
01269001,46.148167,5.607333,NANTUA,True,True
01273001,46.083168,5.373833,NEUVILLE,False,True
01273002,46.085,5.37,NEUVILLE-SUR-AIN,False,True
01276001,45.816666,5.07,NIEVROZ,False,True
01283001,46.271667,5.661667,OYONNAX,True,True
01301001,46.236668,5.11,POLLIAT,True,True
01304001,46.05,5.335,PONT-D AIN,False,True
01305001,46.433334,4.936667,PONT-DE-VAUX,False,True
01350001,46.296,5.279667,SAINT ETIENNE DU BOIS,False,True
01364001,46.396667,5.061667,ST-JEAN/REYSSOU,False,True
01367001,46.38333,5.116667,ST-JULIEN/REYSS,False,True
01367002,46.403168,5.109833,SAINT JULIEN SUR REYSSOUZE,True,True
01374001,46.101665,5.328333,ST MARTIN,False,True
01374002,46.118332,5.318833,SAINT MARTIN DU MONT,False,True
01384001,45.931667,5.426667,SAINT RAMBERT EN BUGEY,False,True
01384002,45.946667,5.436667,SAINT-RAMBERT-EN-BUGEY,False,True
01384003,45.950333,5.461,ST RAMBERT CG01,True,True
01386001,45.88333,5.373333,ST-SORLIN,False,True
01391001,46.363834,5.346667,SALAVRE,False,True
