nohup: ignoring input
2025-11-23 10:58:20,340 - INFO - Lancement des générations de maps
2025-11-23 10:59:50,634 | __main__ | INFO | outputs/maps/gev_z_T_p/horaire/compare_12/sat_90.0/jan/scatter.svg
2025-11-23 10:59:50,861 | __main__ | INFO | outputs/maps/gev_z_T_p/horaire/compare_12/sat_90.0/fev/scatter.svg
2025-11-23 10:59:51,092 | __main__ | INFO | outputs/maps/gev_z_T_p/horaire/compare_12/sat_90.0/mar/scatter.svg
2025-11-23 10:59:51,312 | __main__ | INFO | outputs/maps/gev_z_T_p/horaire/compare_12/sat_90.0/avr/scatter.svg
2025-11-23 10:59:51,562 | __main__ | INFO | outputs/maps/gev_z_T_p/horaire/compare_12/sat_90.0/mai/scatter.svg
2025-11-23 10:59:51,768 | __main__ | INFO | outputs/maps/gev_z_T_p/horaire/compare_12/sat_90.0/jui/scatter.svg
2025-11-23 10:59:52,003 | __main__ | INFO | outputs/maps/gev_z_T_p/horaire/compare_12/sat_90.0/juill/scatter.svg
2025-11-23 10:59:52,236 | __main__ | INFO | outputs/maps/gev_z_T_p/horaire/compare_12/sat_90.0/aou/scatter.svg
2025-11-23 10:59:52,493 | __main__ | INFO | outputs/maps/gev_z_T_p/horaire/compare_12/sat_90.0/sep/scatter.svg
2025-11-23 10:59:52,739 | __main__ | INFO | outputs/maps/gev_z_T_p/horaire/compare_12/sat_90.0/oct/scatter.svg
2025-11-23 10:59:52,987 | __main__ | INFO | outputs/maps/gev_z_T_p/horaire/compare_12/sat_90.0/nov/scatter.svg
2025-11-23 10:59:53,236 | __main__ | INFO | outputs/maps/gev_z_T_p/horaire/compare_12/sat_90.0/dec/scatter.svg
2025-11-23 10:59:53,240 | __main__ | INFO | outputs/maps/gev_z_T_p/horaire/compare_12/sat_90.0/metrics.csv
2025-11-23 10:59:56,074 | __main__ | INFO | Echelle horaire - Saison hydro données générées
2025-11-23 10:59:56,142 | __main__ | INFO | Echelle horaire - Saison jfm données générées
2025-11-23 10:59:56,213 | __main__ | INFO | Echelle horaire - Saison amj données générées
2025-11-23 10:59:56,282 | __main__ | INFO | Echelle horaire - Saison jas données générées
2025-11-23 10:59:56,359 | __main__ | INFO | Echelle horaire - Saison ond données générées
2025-11-23 11:00:09,517 | __main__ | INFO | Echelle horaire - Saison jan données générées
2025-11-23 11:00:09,587 | __main__ | INFO | Echelle horaire - Saison fev données générées
2025-11-23 11:00:09,660 | __main__ | INFO | Echelle horaire - Saison mar données générées
2025-11-23 11:00:09,736 | __main__ | INFO | Echelle horaire - Saison avr données générées
2025-11-23 11:00:09,821 | __main__ | INFO | Echelle horaire - Saison mai données générées
2025-11-23 11:00:09,909 | __main__ | INFO | Echelle horaire - Saison jui données générées
2025-11-23 11:00:10,000 | __main__ | INFO | Echelle horaire - Saison juill données générées
2025-11-23 11:00:10,084 | __main__ | INFO | Echelle horaire - Saison aou données générées
2025-11-23 11:00:10,164 | __main__ | INFO | Echelle horaire - Saison sep données générées
2025-11-23 11:00:10,249 | __main__ | INFO | Echelle horaire - Saison oct données générées
2025-11-23 11:00:10,334 | __main__ | INFO | Echelle horaire - Saison nov données générées
2025-11-23 11:00:10,435 | __main__ | INFO | Echelle horaire - Saison dec données générées
