lat,lon,altitude
41.7557,9.0991,865.8
41.7545,9.1291,767.2
41.7533,9.1591,701.4
41.7521,9.1891,812.3
41.7508,9.2191,1064.2
41.7496,9.2491,665.5
41.7483,9.2791,368.2
41.747,9.3091,505.9
41.7458,9.3391,363.9
41.7445,9.3691,157.0
41.7432,9.3991,55.5
41.7921,8.7405,87.1
41.791,8.7705,238.3
41.7898,8.8005,421.7
41.7887,8.8306,503.2
41.7876,8.8606,290.4
41.7864,8.8906,156.5
41.7853,8.9206,128.6
41.7841,8.9507,306.3
41.7829,8.9807,531.0
41.7817,9.0107,873.9
41.7805,9.0407,1138.2
41.7793,9.0707,855.1
41.7781,9.1008,999.3
41.7769,9.1308,958.5
41.7757,9.1608,834.8
41.7745,9.1908,812.2
41.7732,9.2208,1136.9
41.772,9.2508,834.6
41.7707,9.2808,759.4
41.7694,9.3108,656.1
41.7681,9.3408,420.8
41.7669,9.3708,171.8
41.7656,9.4009,25.2
41.8134,8.772,22.2
41.8122,8.802,266.0
41.8111,8.8321,486.8
41.81,8.8621,558.7
41.8088,8.8922,310.7
41.8076,8.9222,275.0
41.8065,8.9522,225.7
41.8053,8.9823,335.0
41.8041,9.0123,502.1
41.8029,9.0423,998.0
41.8017,9.0724,1042.2
41.8005,9.1024,1083.4
41.7993,9.1324,1230.2
41.7981,9.1624,1297.0
41.7968,9.1925,1037.7
41.7956,9.2225,1154.6
41.7943,9.2525,925.8
41.7931,9.2825,663.6
41.7918,9.3125,651.2
41.7905,9.3426,496.0
41.7892,9.3726,178.3
41.8346,8.8036,117.0
41.8335,8.8336,416.4
41.8323,8.8637,579.3
41.8312,8.8937,441.9
41.83,8.9238,475.4
41.8289,8.9538,315.6
41.8277,8.9838,294.0
41.8265,9.0139,344.4
41.8253,9.0439,647.0
41.8241,9.074,1051.3
41.8229,9.104,1139.8
41.8217,9.134,1475.3
41.8205,9.1641,1509.3
41.8192,9.1941,1382.0
41.818,9.2242,1359.6
41.8167,9.2542,671.7
41.8155,9.2842,442.3
41.8142,9.3143,393.9
41.8129,9.3443,355.8
41.8116,9.3743,206.5
41.857,8.8051,68.6
41.8559,8.8351,215.0
41.8547,8.8652,573.6
41.8536,8.8953,787.8
41.8524,8.9253,630.9
41.8513,8.9554,371.7
41.8501,8.9854,474.9
41.8489,9.0155,458.1
41.8477,9.0455,417.3
41.8465,9.0756,818.1
41.8453,9.1056,1273.2
41.8441,9.1357,1516.9
41.8428,9.1657,1610.5
41.8416,9.1958,1765.1
41.8404,9.2258,1650.1
41.8391,9.2559,1119.7
41.8378,9.2859,510.1
41.8366,9.316,233.8
41.8353,9.346,208.3
41.834,9.376,267.8
41.8794,8.8066,69.4
41.8783,8.8367,260.0
41.8771,8.8667,323.3
41.876,8.8968,527.8
41.8748,8.9269,745.3
41.8736,8.9569,520.6
41.8725,8.987,520.8
41.8713,9.0171,602.8
41.8701,9.0471,546.6
41.8689,9.0772,536.5
41.8677,9.1073,1158.0
41.8665,9.1373,1446.6
41.8652,9.1674,1513.2
41.864,9.1975,1682.1
41.8627,9.2275,1643.3
41.8615,9.2576,1185.1
41.8602,9.2876,807.5
41.859,9.3177,549.3
41.8577,9.3477,180.3
41.8564,9.3778,116.5
41.9084,8.6276,50.1
41.9018,8.8081,11.3
41.9007,8.8382,88.9
41.8995,8.8683,167.3
41.8984,8.8984,457.2
41.8972,8.9284,663.1
41.896,8.9585,818.4
41.8949,8.9886,850.8
41.8937,9.0187,751.5
41.8925,9.0488,733.2
41.8913,9.0788,514.6
41.8901,9.1089,755.0
41.8888,9.139,1188.2
41.8876,9.169,1453.7
41.8864,9.1991,1547.7
41.8851,9.2292,1299.6
41.8839,9.2593,913.2
41.8826,9.2893,739.8
41.8813,9.3194,576.2
41.8801,9.3494,290.1
41.8788,9.3795,93.7
41.9308,8.629,36.6
41.9297,8.6591,190.3
41.9287,8.6892,283.7
41.9275,8.7193,137.1
41.9242,8.8096,15.9
41.9231,8.8397,77.8
41.9219,8.8698,105.6
41.9208,8.8999,219.3
41.9196,8.93,413.3
41.9184,8.9601,535.4
41.9172,8.9902,965.4
41.9161,9.0203,1045.6
41.9149,9.0504,986.2
41.9137,9.0805,751.0
41.9124,9.1105,575.0
41.9112,9.1406,927.8
41.91,9.1707,1473.7
41.9088,9.2008,1317.7
41.9075,9.2309,840.8
41.9063,9.2609,596.6
41.905,9.291,530.4
41.9037,9.3211,479.4
41.9024,9.3512,251.7
41.9012,9.3812,49.6
41.9532,8.6305,127.4
