NUM_POSTE_obs,lat_obs,lon_obs,NUM_POSTE_mod,lat_mod,lon_mod
78505001,48.867833,1.673333,74533,48.856,1.659
78506001,48.526667,1.795,69142,48.5219,1.7808
78517001,48.65,1.8,71314,48.6575,1.807
78520001,48.821667,1.638333,73840,48.8102,1.6276
78537001,48.571833,1.932333,69872,48.571,1.9478
78550001,48.833333,1.9,74199,48.8395,1.899
78551002,48.9015,2.064167,75222,48.9108,2.066
78559002,48.959167,1.5055,76183,48.9645,1.5155
78562001,48.706667,1.745833,72044,48.7006,1.7364
78575001,48.708333,2.068333,72054,48.7088,2.0765
78576001,48.766667,1.886667,73150,48.7722,1.9027
78591001,48.891667,1.6875,75211,48.9017,1.6904
78615001,48.848333,1.916667,74200,48.8403,1.9331
78620001,48.750667,2.1135,72797,48.7545,2.1082
78621001,48.774333,2.009833,73153,48.7746,2.0049
78640001,48.7725,2.204,73159,48.7792,2.2093
78640002,48.783333,2.175,73158,48.7784,2.1752
78646001,48.802167,2.137167,73509,48.8001,2.14
78646002,48.803333,2.09,73508,48.7994,2.1059
78688001,48.753333,2.053333,72795,48.7529,2.0401
79013002,46.960167,-0.436,48278,46.9587,-0.4408
79016001,46.791333,-0.060167,46196,46.795,-0.063
79017001,46.941167,-0.584167,48274,46.9527,-0.5722
79031001,46.175167,-0.457833,39637,46.1692,-0.463
79043001,47.057833,-0.2905,49353,47.0558,-0.2849
79049001,46.838167,-0.476,46955,46.8451,-0.4627
79049004,46.839833,-0.515833,46953,46.8421,-0.5283
79057001,46.143333,-0.218333,39170,46.1345,-0.2321
79061001,46.260833,-0.216167,40622,46.2705,-0.212
79062001,46.811333,-0.6995,46691,46.812,-0.69
79079001,46.924,-0.744,48001,46.9226,-0.7342
79079013,46.928833,-0.757833,48000,46.921,-0.767
79091001,46.83,-0.625,46950,46.8375,-0.6267
79094001,46.71,-0.42,45421,46.712,-0.417
79100001,46.311167,-0.616167,41323,46.3201,-0.608
79103001,46.778333,-0.566667,46181,46.7733,-0.5545
79129001,46.321667,-0.295,41101,46.3125,-0.2811
79134001,46.856333,-0.253667,46961,46.8539,-0.2659
79140002,46.066667,-0.003333,38471,46.0769,0.0005
79148001,46.259,-0.011667,40384,46.2564,-0.0152
79174002,46.235,-0.151333,40135,46.2285,-0.143
79176001,46.494,-0.064333,42963,46.5019,-0.0696
79179001,46.723333,-0.588333,45670,46.7269,-0.5828
79179003,46.73,-0.593333,45670,46.7269,-0.5828
79191002,46.323333,-0.461667,41328,46.3277,-0.4456
79191003,46.324667,-0.47,41327,46.3262,-0.4781
79191005,46.315833,-0.400167,41097,46.3067,-0.411
