NUM_POSTE,lat,lon,altitude
13004002,43.408333,4.72,1
13004003,43.51,4.693833,1
13004008,43.623333,4.528333,5
13004017,43.693333,4.568333,10
13005001,43.29,5.578333,131
13005003,43.307333,5.601167,130
13005004,43.291667,5.556667,105
13010001,43.916667,4.743333,15
1301001,46.236667,5.11,201
13014001,43.471667,5.148333,1
13019001,43.463833,5.334167,163
13021001,43.333333,5.151667,35
13022001,43.218333,5.533333,67
13022003,43.222167,5.503167,212
13026001,43.393333,5.103333,47
13027001,43.883333,4.848333,30
13028001,43.174667,5.574167,316
13030001,43.274,5.700167,184
13030002,43.316667,5.708333,1025
13031002,43.386667,5.601,201
13035001,43.688333,5.033333,89
13035002,43.726333,5.008,160
13036003,43.847167,4.834833,17
13037001,43.548333,5.2,53
13041001,43.428333,5.47,283
13042001,43.288333,5.618333,130
13047001,43.522667,4.9275,23
13050001,43.668667,5.2865,260
13053002,43.715,5.206667,128
13054001,43.437667,5.216,9
13055001,43.305667,5.394333,75
13055004,43.263333,5.29,63
13055005,43.309333,5.426167,137
13055006,43.3385,5.4045,121
13055020,43.323333,5.456667,143
13055025,43.255667,5.38,5
13055029,43.310667,5.479167,192
13056002,43.331667,5.053333,27
13056004,43.417167,5.042833,101
13059001,43.643333,5.531667,210
13059003,43.641667,5.513333,210
13060002,43.486667,5.526667,176
13062002,43.4185,5.499667,416
13071001,43.408333,5.321667,80
13074002,43.623333,5.586667,295
13074003,43.656667,5.607,217
13077001,43.432167,5.0025,18
13077003,43.397667,4.981833,2
13078001,43.471667,4.786667,2
13078004,43.393333,4.813333,1
13080001,43.639,5.4435,277
13082001,43.706667,5.358333,186
13085001,43.2515,5.625,354
13086001,43.366667,5.611667,175
13087001,43.478333,5.636667,235
13089001,43.828333,4.971667,54
13091001,43.591333,5.251333,198
13091002,43.6045,5.317667,249
13092001,43.5495,5.0395,10
13096001,43.457167,4.427833,2
13096002,43.448333,4.423333,1
13097002,43.596667,4.851667,21
13097004,43.628333,4.956667,50
13100002,43.791167,4.835,49
13100003,43.788333,4.83,48
13103001,43.612833,5.108,58
13108001,43.811667,4.665,9
13108004,43.829833,4.640167,15
13110001,43.448333,5.685,249
13110002,43.451667,5.691667,240
13110003,43.445333,5.698667,264
13111002,43.551,5.68,565
1350001,46.296,5.279667,243
1367002,46.403167,5.109833,189
1384001,45.931667,5.426667,285
1384003,45.950333,5.461,296
14020002,49.140333,-0.155,53
14047001,49.275,-0.703333,50
14047002,49.274833,-0.712333,60
14055002,49.256167,0.090833,140
14066001,49.334,-0.430667,2
1407001,45.953333,5.824,285
14096001,48.991167,-0.780833,240
14118001,49.183333,-0.36,40
14126001,49.1455,0.041833,125
14129001,48.953333,-0.93,160
14137001,49.18,-0.456167,67
1414001,45.916167,5.624667,878
14143002,49.083333,-0.8,240
14147001,49.020333,0.323333,182
1416001,45.923333,5.506667,390
14174001,48.853333,-0.55,90
1419001,46.241667,5.968333,605
14216001,48.928,-0.148667,155
14220001,49.355,0.071667,5
14220002,49.352833,0.073333,2
14226001,48.955,-0.416667,225
14228001,49.29,-0.383333,23
14229001,49.231667,-0.0475,29
14239001,49.3875,-0.956667,38
14258002,48.89,-0.203333,158
14277001,49.091667,-0.348333,85
14277003,49.088333,-0.352333,58
14289002,48.896667,-0.115,74
14291002,49.011667,-0.379333,175
14296001,48.794667,-1.037167,336
14334002,49.1385,0.404167,161
14336001,49.151667,-0.646667,70
14352001,48.886667,-0.995,100
14357001,48.913,-0.671167,163
14357002,48.9265,-0.6925,223
14362001,49.071,0.1545,150
14366001,49.145,0.226667,23
14366002,49.165,0.227,62
14369001,49.143333,-0.911333,125
14370001,49.25,-0.883333,25
14372001,49.099167,-0.7665,194
14377001,49.335,-0.695,66
14384001,49.315,-0.358333,10
