2025-03-26 10:13:03,357 | __main__ | INFO | Téléchargement terminé pour le département 08 à l'échelle horaire
2025-03-26 10:13:03,425 | __main__ | INFO | Téléchargement terminé pour le département 08 à l'échelle horaire
2025-03-26 10:13:15,448 | __main__ | INFO | Téléchargement terminé pour le département 08 à l'échelle horaire
2025-03-26 10:13:29,744 | __main__ | INFO | Téléchargement terminé pour le département 08 à l'échelle horaire
2025-03-26 10:13:50,913 | __main__ | INFO | Téléchargement terminé pour le département 08 à l'échelle horaire
2025-03-26 10:13:59,264 | __main__ | INFO | Téléchargement terminé pour le département 08 à l'échelle horaire
2025-03-26 10:13:59,444 | __main__ | INFO | Téléchargement terminé pour le département 09 à l'échelle horaire
2025-03-26 10:13:59,675 | __main__ | INFO | Téléchargement terminé pour le département 09 à l'échelle horaire
2025-03-26 10:14:00,004 | __main__ | INFO | Téléchargement terminé pour le département 09 à l'échelle horaire
2025-03-26 10:14:00,379 | __main__ | INFO | Téléchargement terminé pour le département 09 à l'échelle horaire
2025-03-26 10:14:03,678 | __main__ | INFO | Téléchargement terminé pour le département 09 à l'échelle horaire
2025-03-26 10:14:15,304 | __main__ | INFO | Téléchargement terminé pour le département 09 à l'échelle horaire
2025-03-26 10:14:28,948 | __main__ | INFO | Téléchargement terminé pour le département 09 à l'échelle horaire
2025-03-26 10:14:34,292 | __main__ | INFO | Téléchargement terminé pour le département 09 à l'échelle horaire
2025-03-26 10:14:34,500 | __main__ | INFO | Téléchargement terminé pour le département 10 à l'échelle horaire
2025-03-26 10:14:35,112 | __main__ | INFO | Téléchargement terminé pour le département 10 à l'échelle horaire
2025-03-26 10:14:35,354 | __main__ | INFO | Téléchargement terminé pour le département 10 à l'échelle horaire
2025-03-26 10:14:35,633 | __main__ | INFO | Téléchargement terminé pour le département 10 à l'échelle horaire
2025-03-26 10:14:41,387 | __main__ | INFO | Téléchargement terminé pour le département 10 à l'échelle horaire
2025-03-26 10:14:55,885 | __main__ | INFO | Téléchargement terminé pour le département 10 à l'échelle horaire
2025-03-26 10:15:19,790 | __main__ | INFO | Téléchargement terminé pour le département 10 à l'échelle horaire
2025-03-26 10:15:31,456 | __main__ | INFO | Téléchargement terminé pour le département 10 à l'échelle horaire
2025-03-26 10:15:31,726 | __main__ | INFO | Téléchargement terminé pour le département 11 à l'échelle horaire
2025-03-26 10:15:31,945 | __main__ | INFO | Téléchargement terminé pour le département 11 à l'échelle horaire
2025-03-26 10:15:32,206 | __main__ | INFO | Téléchargement terminé pour le département 11 à l'échelle horaire
2025-03-26 10:15:32,647 | __main__ | INFO | Téléchargement terminé pour le département 11 à l'échelle horaire
2025-03-26 10:15:46,422 | __main__ | INFO | Téléchargement terminé pour le département 11 à l'échelle horaire
2025-03-26 10:16:15,565 | __main__ | INFO | Téléchargement terminé pour le département 11 à l'échelle horaire
2025-03-26 10:16:50,090 | __main__ | INFO | Téléchargement terminé pour le département 11 à l'échelle horaire
2025-03-26 10:17:04,296 | __main__ | INFO | Téléchargement terminé pour le département 11 à l'échelle horaire
2025-03-26 10:17:04,528 | __main__ | INFO | Téléchargement terminé pour le département 12 à l'échelle horaire
2025-03-26 10:17:04,792 | __main__ | INFO | Téléchargement terminé pour le département 12 à l'échelle horaire
2025-03-26 10:17:05,088 | __main__ | INFO | Téléchargement terminé pour le département 12 à l'échelle horaire
2025-03-26 10:17:05,448 | __main__ | INFO | Téléchargement terminé pour le département 12 à l'échelle horaire
2025-03-26 10:17:08,002 | __main__ | INFO | Téléchargement terminé pour le département 12 à l'échelle horaire
2025-03-26 10:17:20,753 | __main__ | INFO | Téléchargement terminé pour le département 12 à l'échelle horaire
2025-03-26 10:17:40,910 | __main__ | INFO | Téléchargement terminé pour le département 12 à l'échelle horaire
2025-03-26 10:17:49,317 | __main__ | INFO | Téléchargement terminé pour le département 12 à l'échelle horaire
2025-03-26 10:17:50,730 | __main__ | INFO | Téléchargement terminé pour le département 13 à l'échelle horaire
2025-03-26 10:17:51,142 | __main__ | INFO | Téléchargement terminé pour le département 13 à l'échelle horaire
2025-03-26 10:17:52,561 | __main__ | INFO | Téléchargement terminé pour le département 13 à l'échelle horaire
2025-03-26 10:17:53,197 | __main__ | INFO | Téléchargement terminé pour le département 13 à l'échelle horaire
2025-03-26 10:18:11,508 | __main__ | INFO | Téléchargement terminé pour le département 13 à l'échelle horaire
2025-03-26 10:19:04,843 | __main__ | INFO | Téléchargement terminé pour le département 13 à l'échelle horaire
2025-03-26 10:20:05,057 | __main__ | INFO | Téléchargement terminé pour le département 13 à l'échelle horaire
2025-03-26 10:20:38,916 | __main__ | INFO | Téléchargement terminé pour le département 13 à l'échelle horaire
2025-03-26 10:20:39,277 | __main__ | INFO | Téléchargement terminé pour le département 14 à l'échelle horaire
2025-03-26 10:20:39,843 | __main__ | INFO | Téléchargement terminé pour le département 14 à l'échelle horaire
2025-03-26 10:20:40,687 | __main__ | INFO | Téléchargement terminé pour le département 14 à l'échelle horaire
2025-03-26 10:20:41,110 | __main__ | INFO | Téléchargement terminé pour le département 14 à l'échelle horaire
2025-03-26 10:20:48,449 | __main__ | INFO | Téléchargement terminé pour le département 14 à l'échelle horaire
2025-03-26 10:21:14,845 | __main__ | INFO | Téléchargement terminé pour le département 14 à l'échelle horaire
2025-03-26 10:21:46,350 | __main__ | INFO | Téléchargement terminé pour le département 14 à l'échelle horaire
2025-03-26 10:21:59,681 | __main__ | INFO | Téléchargement terminé pour le département 14 à l'échelle horaire
2025-03-26 10:21:59,781 | __main__ | INFO | Téléchargement terminé pour le département 15 à l'échelle horaire
2025-03-26 10:21:59,914 | __main__ | INFO | Téléchargement terminé pour le département 15 à l'échelle horaire
2025-03-26 10:22:00,066 | __main__ | INFO | Téléchargement terminé pour le département 15 à l'échelle horaire
2025-03-26 10:22:00,302 | __main__ | INFO | Téléchargement terminé pour le département 15 à l'échelle horaire
2025-03-26 10:22:06,825 | __main__ | INFO | Téléchargement terminé pour le département 15 à l'échelle horaire
2025-03-26 10:22:28,715 | __main__ | INFO | Téléchargement terminé pour le département 15 à l'échelle horaire
2025-03-26 10:22:55,514 | __main__ | INFO | Téléchargement terminé pour le département 15 à l'échelle horaire
2025-03-26 10:23:12,223 | __main__ | INFO | Téléchargement terminé pour le département 15 à l'échelle horaire
2025-03-26 10:23:12,970 | __main__ | INFO | Téléchargement terminé pour le département 16 à l'échelle horaire
2025-03-26 10:23:13,254 | __main__ | INFO | Téléchargement terminé pour le département 16 à l'échelle horaire
2025-03-26 10:23:13,478 | __main__ | INFO | Téléchargement terminé pour le département 16 à l'échelle horaire
2025-03-26 10:23:14,740 | __main__ | INFO | Téléchargement terminé pour le département 16 à l'échelle horaire
2025-03-26 10:23:44,250 | __main__ | INFO | Téléchargement terminé pour le département 16 à l'échelle horaire
2025-03-26 10:24:38,267 | __main__ | INFO | Téléchargement terminé pour le département 16 à l'échelle horaire
2025-03-26 10:25:03,509 | __main__ | INFO | Téléchargement terminé pour le département 16 à l'échelle horaire
2025-03-26 10:25:10,334 | __main__ | INFO | Téléchargement terminé pour le département 16 à l'échelle horaire
2025-03-26 10:25:10,713 | __main__ | INFO | Téléchargement terminé pour le département 17 à l'échelle horaire
2025-03-26 10:25:11,210 | __main__ | INFO | Téléchargement terminé pour le département 17 à l'échelle horaire
2025-03-26 10:25:11,527 | __main__ | INFO | Téléchargement terminé pour le département 17 à l'échelle horaire
2025-03-26 10:25:11,955 | __main__ | INFO | Téléchargement terminé pour le département 17 à l'échelle horaire
2025-03-26 10:25:23,617 | __main__ | INFO | Téléchargement terminé pour le département 17 à l'échelle horaire
2025-03-26 10:25:50,052 | __main__ | INFO | Téléchargement terminé pour le département 17 à l'échelle horaire
2025-03-26 10:26:23,465 | __main__ | INFO | Téléchargement terminé pour le département 17 à l'échelle horaire
2025-03-26 10:26:35,191 | __main__ | INFO | Téléchargement terminé pour le département 17 à l'échelle horaire
2025-03-26 10:26:35,482 | __main__ | INFO | Téléchargement terminé pour le département 18 à l'échelle horaire
2025-03-26 10:26:35,844 | __main__ | INFO | Téléchargement terminé pour le département 18 à l'échelle horaire
2025-03-26 10:26:36,962 | __main__ | INFO | Téléchargement terminé pour le département 18 à l'échelle horaire
2025-03-26 10:26:37,521 | __main__ | INFO | Téléchargement terminé pour le département 18 à l'échelle horaire
2025-03-26 10:26:49,250 | __main__ | INFO | Téléchargement terminé pour le département 18 à l'échelle horaire
2025-03-26 10:27:24,357 | __main__ | INFO | Téléchargement terminé pour le département 18 à l'échelle horaire
