2025-03-26 09:11:53,229 | __main__ | INFO | Logger initialisé avec fichier : logs/pipeline/observed\pipeline_obs_to_nc_download_2025-03-26-09-11.log
2025-03-26 09:11:53,229 | __main__ | INFO | Démarrage du pipeline observations (ZIP) → .nc avec la config : config/observed_settings.yaml
2025-03-26 09:11:53,230 | __main__ | INFO | --- Début du téléchargement des ZIP
2025-03-26 09:11:57,572 | __main__ | INFO | Téléchargement terminé pour le département 01
2025-03-26 09:12:02,152 | __main__ | INFO | Téléchargement terminé pour le département 02
2025-03-26 09:12:07,015 | __main__ | INFO | Téléchargement terminé pour le département 03
2025-03-26 09:12:10,021 | __main__ | INFO | Téléchargement terminé pour le département 04
2025-03-26 09:12:15,320 | __main__ | INFO | Téléchargement terminé pour le département 05
2025-03-26 09:12:23,251 | __main__ | INFO | Téléchargement terminé pour le département 06
2025-03-26 09:12:31,299 | __main__ | INFO | Téléchargement terminé pour le département 07
2025-03-26 09:12:32,791 | __main__ | INFO | Téléchargement terminé pour le département 08
2025-03-26 09:12:35,464 | __main__ | INFO | Téléchargement terminé pour le département 09
2025-03-26 09:12:36,620 | __main__ | INFO | Téléchargement terminé pour le département 10
2025-03-26 09:12:41,546 | __main__ | INFO | Téléchargement terminé pour le département 11
2025-03-26 09:12:45,335 | __main__ | INFO | Téléchargement terminé pour le département 12
2025-03-26 09:12:49,641 | __main__ | INFO | Téléchargement terminé pour le département 13
2025-03-26 09:12:54,071 | __main__ | INFO | Téléchargement terminé pour le département 14
2025-03-26 09:12:57,953 | __main__ | INFO | Téléchargement terminé pour le département 15
2025-03-26 09:13:01,251 | __main__ | INFO | Téléchargement terminé pour le département 16
2025-03-26 09:13:04,807 | __main__ | INFO | Téléchargement terminé pour le département 17
2025-03-26 09:13:10,014 | __main__ | INFO | Téléchargement terminé pour le département 18
2025-03-26 09:13:13,943 | __main__ | INFO | Téléchargement terminé pour le département 19
2025-03-26 09:13:21,022 | __main__ | INFO | Téléchargement terminé pour le département 20
2025-03-26 09:13:26,299 | __main__ | INFO | Téléchargement terminé pour le département 21
2025-03-26 09:13:29,952 | __main__ | INFO | Téléchargement terminé pour le département 22
2025-03-26 09:13:33,117 | __main__ | INFO | Téléchargement terminé pour le département 23
2025-03-26 09:13:36,923 | __main__ | INFO | Téléchargement terminé pour le département 24
2025-03-26 09:13:43,833 | __main__ | INFO | Téléchargement terminé pour le département 25
