2025-03-26 10:27:46,052 | __main__ | INFO | Logger initialisé avec fichier : logs/pipeline/observed\pipeline_obs_to_nc_download_2025-03-26-10-27.log
2025-03-26 10:27:46,052 | __main__ | INFO | Démarrage du pipeline observations (ZIP) → .nc avec la config : config/observed_settings.yaml
2025-03-26 10:27:46,053 | __main__ | INFO | --- Début du téléchargement des ZIP
2025-03-26 10:27:46,055 | __main__ | INFO | Fichier échelle quotidienne déjà présent pour le département 01
2025-03-26 10:27:46,055 | __main__ | INFO | Fichier échelle horaire_1950-1959 déjà présent pour le département 01
2025-03-26 10:27:46,055 | __main__ | INFO | Fichier échelle quotidienne déjà présent pour le département 02
2025-03-26 10:27:46,060 | __main__ | INFO | Fichier échelle horaire_1950-1959 déjà présent pour le département 02
2025-03-26 10:27:46,060 | __main__ | INFO | Fichier échelle quotidienne déjà présent pour le département 03
2025-03-26 10:27:46,061 | __main__ | INFO | Fichier échelle horaire_1950-1959 déjà présent pour le département 03
2025-03-26 10:27:46,061 | __main__ | INFO | Fichier échelle quotidienne déjà présent pour le département 04
2025-03-26 10:27:46,062 | __main__ | INFO | Fichier échelle horaire_1950-1959 déjà présent pour le département 04
2025-03-26 10:27:46,062 | __main__ | INFO | Fichier échelle quotidienne déjà présent pour le département 05
2025-03-26 10:27:46,062 | __main__ | INFO | Fichier échelle horaire_1950-1959 déjà présent pour le département 05
2025-03-26 10:27:46,062 | __main__ | INFO | Fichier échelle quotidienne déjà présent pour le département 06
2025-03-26 10:27:46,063 | __main__ | INFO | Fichier échelle horaire_1950-1959 déjà présent pour le département 06
2025-03-26 10:27:46,063 | __main__ | INFO | Fichier échelle quotidienne déjà présent pour le département 07
2025-03-26 10:27:46,064 | __main__ | INFO | Fichier échelle quotidienne déjà présent pour le département 08
2025-03-26 10:27:46,064 | __main__ | INFO | Fichier échelle horaire_1950-1959 déjà présent pour le département 08
2025-03-26 10:27:46,064 | __main__ | INFO | Fichier échelle horaire_1960-1969 déjà présent pour le département 01
2025-03-26 10:27:46,065 | __main__ | INFO | Fichier échelle horaire_1960-1969 déjà présent pour le département 02
2025-03-26 10:27:46,065 | __main__ | INFO | Fichier échelle horaire_1950-1959 déjà présent pour le département 09
2025-03-26 10:27:46,065 | __main__ | INFO | Fichier échelle quotidienne déjà présent pour le département 09
2025-03-26 10:27:46,066 | __main__ | INFO | Fichier échelle quotidienne déjà présent pour le département 10
2025-03-26 10:27:46,067 | __main__ | INFO | Fichier échelle horaire_1960-1969 déjà présent pour le département 03
2025-03-26 10:27:46,067 | __main__ | INFO | Fichier échelle horaire_1950-1959 déjà présent pour le département 10
2025-03-26 10:27:46,067 | __main__ | INFO | Fichier échelle horaire_1960-1969 déjà présent pour le département 04
2025-03-26 10:27:46,067 | __main__ | INFO | Fichier échelle horaire_1960-1969 déjà présent pour le département 05
2025-03-26 10:27:46,067 | __main__ | INFO | Fichier échelle quotidienne déjà présent pour le département 11
2025-03-26 10:27:46,067 | __main__ | INFO | Fichier échelle horaire_1950-1959 déjà présent pour le département 11
2025-03-26 10:27:46,068 | __main__ | INFO | Fichier échelle horaire_1960-1969 déjà présent pour le département 06
2025-03-26 10:27:46,068 | __main__ | INFO | Fichier échelle quotidienne déjà présent pour le département 12
2025-03-26 10:27:46,068 | __main__ | INFO | Fichier échelle horaire_1950-1959 déjà présent pour le département 12
2025-03-26 10:27:46,069 | __main__ | INFO | Fichier échelle horaire_1960-1969 déjà présent pour le département 08
2025-03-26 10:27:46,070 | __main__ | INFO | Fichier échelle horaire_1970-1979 déjà présent pour le département 01
2025-03-26 10:27:46,070 | __main__ | INFO | Fichier échelle horaire_1970-1979 déjà présent pour le département 02
2025-03-26 10:27:46,070 | __main__ | INFO | Fichier échelle horaire_1960-1969 déjà présent pour le département 09
2025-03-26 10:27:46,070 | __main__ | INFO | Fichier échelle quotidienne déjà présent pour le département 13
2025-03-26 10:27:46,070 | __main__ | INFO | Fichier échelle horaire_1950-1959 déjà présent pour le département 13
2025-03-26 10:27:46,071 | __main__ | INFO | Fichier échelle horaire_1970-1979 déjà présent pour le département 03
2025-03-26 10:27:46,071 | __main__ | INFO | Fichier échelle horaire_1960-1969 déjà présent pour le département 10
2025-03-26 10:27:46,071 | __main__ | INFO | Fichier échelle horaire_1970-1979 déjà présent pour le département 04
2025-03-26 10:27:46,071 | __main__ | INFO | Fichier échelle horaire_1970-1979 déjà présent pour le département 05
2025-03-26 10:27:46,072 | __main__ | INFO | Fichier échelle quotidienne déjà présent pour le département 14
2025-03-26 10:27:46,072 | __main__ | INFO | Fichier échelle horaire_1960-1969 déjà présent pour le département 11
2025-03-26 10:27:46,072 | __main__ | INFO | Fichier échelle horaire_1970-1979 déjà présent pour le département 06
