2025-03-25 19:27:39,399 | __main__ | INFO | Logger initialisé avec fichier : logs/pipeline/observed\pipeline_obs_to_nc_download_2025-03-25-19-27.log
2025-03-25 19:27:39,400 | __main__ | INFO | Démarrage du pipeline observations (ZIP) → .nc avec la config : config/observed_settings.yaml
2025-03-25 19:27:39,400 | __main__ | INFO | [DL] Début du téléchargement de tous les ZIP.
2025-03-25 19:27:39,401 | __main__ | INFO | Téléchargement quotidien : https://object.files.data.gouv.fr/meteofrance/data/synchro_ftp/BASE/QUOT/Q_01_previous-1950-2023_RR-T-Vent.csv.gz
2025-03-25 19:27:40,072 | __main__ | INFO | Téléchargement terminé pour le département 01
2025-03-25 19:27:40,312 | __main__ | INFO | Téléchargement quotidien : https://object.files.data.gouv.fr/meteofrance/data/synchro_ftp/BASE/QUOT/Q_02_previous-1950-2023_RR-T-Vent.csv.gz
2025-03-25 19:27:40,749 | __main__ | INFO | Téléchargement terminé pour le département 02
2025-03-25 19:27:40,816 | __main__ | INFO | Téléchargement quotidien : https://object.files.data.gouv.fr/meteofrance/data/synchro_ftp/BASE/QUOT/Q_03_previous-1950-2023_RR-T-Vent.csv.gz
2025-03-25 19:27:41,256 | __main__ | INFO | Téléchargement terminé pour le département 03
2025-03-25 19:27:41,380 | __main__ | INFO | Téléchargement quotidien : https://object.files.data.gouv.fr/meteofrance/data/synchro_ftp/BASE/QUOT/Q_04_previous-1950-2023_RR-T-Vent.csv.gz
2025-03-25 19:27:41,742 | __main__ | INFO | Téléchargement terminé pour le département 04
2025-03-25 19:27:41,818 | __main__ | INFO | Téléchargement quotidien : https://object.files.data.gouv.fr/meteofrance/data/synchro_ftp/BASE/QUOT/Q_05_previous-1950-2023_RR-T-Vent.csv.gz
2025-03-25 19:27:42,210 | __main__ | INFO | Téléchargement terminé pour le département 05
2025-03-25 19:27:42,278 | __main__ | INFO | Téléchargement quotidien : https://object.files.data.gouv.fr/meteofrance/data/synchro_ftp/BASE/QUOT/Q_06_previous-1950-2023_RR-T-Vent.csv.gz
2025-03-25 19:27:42,801 | __main__ | INFO | Téléchargement terminé pour le département 06
2025-03-25 19:27:42,890 | __main__ | INFO | Téléchargement quotidien : https://object.files.data.gouv.fr/meteofrance/data/synchro_ftp/BASE/QUOT/Q_07_previous-1950-2023_RR-T-Vent.csv.gz
2025-03-25 19:27:43,540 | __main__ | INFO | Téléchargement terminé pour le département 07
2025-03-25 19:27:43,614 | __main__ | INFO | Téléchargement quotidien : https://object.files.data.gouv.fr/meteofrance/data/synchro_ftp/BASE/QUOT/Q_08_previous-1950-2023_RR-T-Vent.csv.gz
2025-03-25 19:27:43,961 | __main__ | INFO | Téléchargement terminé pour le département 08
2025-03-25 19:27:44,030 | __main__ | INFO | Téléchargement quotidien : https://object.files.data.gouv.fr/meteofrance/data/synchro_ftp/BASE/QUOT/Q_09_previous-1950-2023_RR-T-Vent.csv.gz
2025-03-25 19:27:44,402 | __main__ | INFO | Téléchargement terminé pour le département 09
2025-03-25 19:27:44,490 | __main__ | INFO | Téléchargement quotidien : https://object.files.data.gouv.fr/meteofrance/data/synchro_ftp/BASE/QUOT/Q_10_previous-1950-2023_RR-T-Vent.csv.gz
2025-03-25 19:27:44,869 | __main__ | INFO | Téléchargement terminé pour le département 10
2025-03-25 19:27:44,938 | __main__ | INFO | Téléchargement quotidien : https://object.files.data.gouv.fr/meteofrance/data/synchro_ftp/BASE/QUOT/Q_11_previous-1950-2023_RR-T-Vent.csv.gz
2025-03-25 19:27:45,353 | __main__ | INFO | Téléchargement terminé pour le département 11
2025-03-25 19:27:45,433 | __main__ | INFO | Téléchargement quotidien : https://object.files.data.gouv.fr/meteofrance/data/synchro_ftp/BASE/QUOT/Q_12_previous-1950-2023_RR-T-Vent.csv.gz
2025-03-25 19:27:45,940 | __main__ | INFO | Téléchargement terminé pour le département 12
2025-03-25 19:27:46,035 | __main__ | INFO | Téléchargement quotidien : https://object.files.data.gouv.fr/meteofrance/data/synchro_ftp/BASE/QUOT/Q_13_previous-1950-2023_RR-T-Vent.csv.gz
2025-03-25 19:27:46,484 | __main__ | INFO | Téléchargement terminé pour le département 13
2025-03-25 19:27:46,558 | __main__ | INFO | Téléchargement quotidien : https://object.files.data.gouv.fr/meteofrance/data/synchro_ftp/BASE/QUOT/Q_14_previous-1950-2023_RR-T-Vent.csv.gz
2025-03-25 19:27:46,905 | __main__ | INFO | Téléchargement terminé pour le département 14
2025-03-25 19:27:46,980 | __main__ | INFO | Téléchargement quotidien : https://object.files.data.gouv.fr/meteofrance/data/synchro_ftp/BASE/QUOT/Q_15_previous-1950-2023_RR-T-Vent.csv.gz
2025-03-25 19:27:47,383 | __main__ | INFO | Téléchargement terminé pour le département 15
2025-03-25 19:27:47,493 | __main__ | INFO | Téléchargement quotidien : https://object.files.data.gouv.fr/meteofrance/data/synchro_ftp/BASE/QUOT/Q_16_previous-1950-2023_RR-T-Vent.csv.gz
2025-03-25 19:27:47,847 | __main__ | INFO | Téléchargement terminé pour le département 16
