2025-03-26 09:26:00,706 | __main__ | INFO | Logger initialisé avec fichier : logs/pipeline/observed\pipeline_obs_to_nc_download_2025-03-26-09-26.log
2025-03-26 09:26:00,707 | __main__ | INFO | Démarrage du pipeline observations (ZIP) → .nc avec la config : config/observed_settings.yaml
2025-03-26 09:26:00,707 | __main__ | INFO | --- Début du téléchargement des ZIP
2025-03-26 09:26:00,707 | __main__ | INFO | Fichier échelle quotidienne déjà présent pour le département 01
2025-03-26 09:26:00,829 | __main__ | INFO | Fichier échelle quotidienne déjà présent pour le département 02
2025-03-26 09:26:00,899 | __main__ | INFO | Fichier échelle quotidienne déjà présent pour le département 03
2025-03-26 09:26:00,975 | __main__ | INFO | Fichier échelle quotidienne déjà présent pour le département 04
2025-03-26 09:26:01,034 | __main__ | INFO | Fichier échelle quotidienne déjà présent pour le département 05
2025-03-26 09:26:01,095 | __main__ | INFO | Fichier échelle quotidienne déjà présent pour le département 06
2025-03-26 09:26:01,170 | __main__ | INFO | Fichier échelle quotidienne déjà présent pour le département 07
2025-03-26 09:26:01,229 | __main__ | INFO | Fichier échelle quotidienne déjà présent pour le département 08
2025-03-26 09:26:01,289 | __main__ | INFO | Fichier échelle quotidienne déjà présent pour le département 09
2025-03-26 09:26:01,365 | __main__ | INFO | Fichier échelle quotidienne déjà présent pour le département 10
2025-03-26 09:26:01,424 | __main__ | INFO | Fichier échelle quotidienne déjà présent pour le département 11
2025-03-26 09:26:01,483 | __main__ | INFO | Fichier échelle quotidienne déjà présent pour le département 12
2025-03-26 09:26:01,559 | __main__ | INFO | Fichier échelle quotidienne déjà présent pour le département 13
2025-03-26 09:26:01,618 | __main__ | INFO | Fichier échelle quotidienne déjà présent pour le département 14
2025-03-26 09:26:01,685 | __main__ | INFO | Fichier échelle quotidienne déjà présent pour le département 15
2025-03-26 09:26:01,762 | __main__ | INFO | Fichier échelle quotidienne déjà présent pour le département 16
2025-03-26 09:26:01,822 | __main__ | INFO | Fichier échelle quotidienne déjà présent pour le département 17
2025-03-26 09:26:01,885 | __main__ | INFO | Fichier échelle quotidienne déjà présent pour le département 18
2025-03-26 09:26:01,960 | __main__ | INFO | Fichier échelle quotidienne déjà présent pour le département 19
2025-03-26 09:26:02,020 | __main__ | INFO | Fichier échelle quotidienne déjà présent pour le département 20
2025-03-26 09:26:02,079 | __main__ | INFO | Fichier échelle quotidienne déjà présent pour le département 21
2025-03-26 09:26:02,158 | __main__ | INFO | Fichier échelle quotidienne déjà présent pour le département 22
2025-03-26 09:26:02,217 | __main__ | INFO | Fichier échelle quotidienne déjà présent pour le département 23
2025-03-26 09:26:02,276 | __main__ | INFO | Fichier échelle quotidienne déjà présent pour le département 24
2025-03-26 09:26:02,351 | __main__ | INFO | Fichier échelle quotidienne déjà présent pour le département 25
2025-03-26 09:26:02,410 | __main__ | INFO | Fichier échelle quotidienne déjà présent pour le département 26
2025-03-26 09:26:02,476 | __main__ | INFO | Fichier échelle quotidienne déjà présent pour le département 27
2025-03-26 09:26:02,553 | __main__ | INFO | Fichier échelle quotidienne déjà présent pour le département 28
2025-03-26 09:26:02,614 | __main__ | INFO | Fichier échelle quotidienne déjà présent pour le département 29
2025-03-26 09:26:02,672 | __main__ | INFO | Fichier échelle quotidienne déjà présent pour le département 30
2025-03-26 09:26:02,748 | __main__ | INFO | Fichier échelle quotidienne déjà présent pour le département 31
2025-03-26 09:26:02,807 | __main__ | INFO | Fichier échelle quotidienne déjà présent pour le département 32
2025-03-26 09:26:02,866 | __main__ | INFO | Fichier échelle quotidienne déjà présent pour le département 33
2025-03-26 09:26:02,941 | __main__ | INFO | Fichier échelle quotidienne déjà présent pour le département 34
2025-03-26 09:26:03,000 | __main__ | INFO | Fichier échelle quotidienne déjà présent pour le département 35
2025-03-26 09:26:03,065 | __main__ | INFO | Fichier échelle quotidienne déjà présent pour le département 36
2025-03-26 09:26:03,142 | __main__ | INFO | Fichier échelle quotidienne déjà présent pour le département 37
2025-03-26 09:26:03,200 | __main__ | INFO | Fichier échelle quotidienne déjà présent pour le département 38
2025-03-26 09:26:03,256 | __main__ | INFO | Fichier échelle quotidienne déjà présent pour le département 39
2025-03-26 09:26:03,337 | __main__ | INFO | Fichier échelle quotidienne déjà présent pour le département 40
2025-03-26 09:26:03,395 | __main__ | INFO | Fichier échelle quotidienne déjà présent pour le département 41
2025-03-26 09:26:03,455 | __main__ | INFO | Fichier échelle quotidienne déjà présent pour le département 42
2025-03-26 09:26:03,531 | __main__ | INFO | Fichier échelle quotidienne déjà présent pour le département 43
2025-03-26 09:26:03,589 | __main__ | INFO | Fichier échelle quotidienne déjà présent pour le département 44
2025-03-26 09:26:03,648 | __main__ | INFO | Fichier échelle quotidienne déjà présent pour le département 45
